"V1" "V2" "V3" "V4" "V5" "V6"
"1809" 405744.123286024 484704.012347478 1211741.16986343 2536505.89079842 105924.157780377 2200470.44974481
"1810" 370947.393791857 442377.640496218 1214255.81292003 2540256.62610273 106262.797244761 2200322.90364913
"1811" 339427.504353856 398220.131722885 1216940.3010813 2544171.12839577 106607.243932137 2198856.49609355
"1812" 310322.069650744 351898.882074372 1219830.26493783 2548308.03391533 106961.89223417 2196077.97685677
"1813" 282957.942230197 303263.714371988 1222952.6271616 2552713.48491981 107329.911858518 2191978.54889382
"1814" 256789.826447097 252449.823387979 1226319.29824036 2557414.38216125 107712.791211729 2186562.94927459
"1815" 231349.949650065 200081.1662514 1229912.58678145 2562400.77596352 108109.214151888 2179906.15196385
"1816" 1023288.61884001 922212.812142502 945898.558868984 1998598.2974296 113013.980819823 2698729.94324221
"1817" 861357.085375463 837918.955949101 950479.746736333 2006204.32614892 113770.642314558 2721669.43447366
"1818" 741501.380198388 769200.882052223 953623.389580431 2011975.21874337 114372.064166622 2739595.8672814
"1819" 649576.652488192 713576.685146203 956081.678549161 2016432.17586437 114851.880637496 2753265.46243316
"1820" 576729.272655155 665802.645365634 958152.605125143 2020106.55302133 115256.391098879 2763929.21192107
"1821" 517292.838087746 622712.034777577 960000.372576017 2023300.70679608 115611.84663863 2772358.11502432
"1822" 467494.057791676 582267.091807437 961727.969514862 2026202.69072385 115935.149414209 2779057.49898815
"1823" 424731.344712512 543073.999492563 963404.802916998 2028937.39692695 116237.94164702 2784368.85003894
"1824" 387155.719638629 504126.548146618 965080.669908674 2031592.77948687 116528.651427411 2788526.99057951
"1825" 353417.104697561 464665.284941623 966793.41354974 2034234.17166388 116813.63430829 2791694.05845246
"1826" 322505.010519309 424100.509449058 968573.157892047 2036912.29496879 117097.832190866 2793980.81308889
"1827" 293645.02408516 381976.135219712 970444.421217252 2039667.54217027 117385.137848773 2795461.09012016
"1828" 266229.082512967 337966.950166757 972426.573313533 2042531.60682958 117678.544233083 2796183.14703474
"1829" 239766.261656491 291913.29757443 974532.488118836 2045526.53658188 117980.085896587 2796181.1615406
"1830" 213845.463484142 243909.814508413 976764.54548217 2048660.27909593 118290.508730625 2795491.04934616
"1831" 979664.436242458 967944.166374448 777592.19959574 1654405.62455994 121050.543314155 3077980.71809457
"1832" 827740.175209371 869799.106101898 782462.858567387 1662123.63506494 121764.644215392 3110665.34464862
"1833" 715250.486920402 793032.50295848 785487.291015277 1667525.85686498 122332.787885396 3133136.44582469
"1834" 628670.260466632 732422.474941629 787732.474010241 1671589.10844787 122799.123206954 3149220.6114707
"1835" 559603.532531804 681588.818068089 789586.777695308 1674894.24642588 123195.733525696 3161557.2422414
"1836" 502841.320043152 636746.083276245 791213.288356718 1677731.46307433 123543.179585662 3171366.82874508
"1837" 454940.645983658 595503.512685238 792704.553925786 1680272.53309521 123856.61244277 3179329.29284746
"1838" 413519.845946634 556252.691269942 794121.975585581 1682630.02448727 124147.097893181 3185877.40620407
"1839" 376876.063924998 517849.928611549 795509.437458497 1684882.56584213 124422.799906276 3191304.80863815
"1840" 343757.968422337 479442.728239507 796899.941620118 1687087.88227198 124689.888807399 3195816.58435872
"1841" 313223.143955422 440372.303354928 798319.355601784 1689290.13237979 124953.144767657 3199557.68022319
"1842" 284545.18096573 400121.23490281 799788.513555309 1691524.06040506 125216.326670391 3202630.6888078
"1843" 257151.063133545 358293.420371788 801324.137659133 1693817.05302113 125482.365538028 3205108.01766942
"1844" 230577.308751686 314624.576901399 802938.649815342 1696189.44880093 125753.405906433 3207041.40231178
"1845" 204437.617343802 269031.626576016 804638.564180921 1698652.84471076 126030.675979592 3208471.20882191
"1846" 954719.863915198 1003152.95157181 660331.540676772 1410579.42518518 127129.607524792 3348940.64670176
"1847" 807106.725711219 895363.798600285 665469.127378562 1418476.59169002 127791.118703474 3389425.39711253
"1848" 698320.825117762 812117.359110163 667970.511668219 1423381.31003575 128255.768985358 3415699.68649797
"1849" 615319.314609678 747616.711524641 669626.640426343 1426867.9227659 128688.139717738 3432300.86926041
"1850" 548870.472202902 694510.084995637 671118.648210226 1429768.35819492 129089.271522291 3444589.67543622
"1851" 493826.965280113 648326.848707747 672548.286698177 1432339.79220474 129447.290005316 3454673.81691633
"1852" 447051.039465878 606344.397887459 673910.310378836 1434678.17478545 129765.906686216 3463238.02706323
"1853" 406386.40141842 566802.492427297 675209.700094724 1436847.92506806 130055.047902107 3470565.7889166
"1854" 370256.591148593 528478.64294166 676466.452421483 1438905.00562026 130324.412616763 3476850.71724268
"1855" 337478.25175644 490470.415224741 677705.221286185 1440897.66988888 130581.645301789 3482257.66671651
"1856" 307148.131499192 452081.24443207 678949.202549207 1442865.92806219 130832.39291651 3486926.42627804
"1857" 278564.985617508 412759.940569117 680218.092588404 1444842.17752355 131080.771196654 3490970.31869293
"1858" 251173.662661018 372073.249413251 681527.812767872 1446852.17777516 131329.747855456 3494478.4453433
"1859" 224524.561638548 329705.83847396 682890.559826354 1448915.58286987 131581.338065472 3497521.09173469
"1860" 198243.620650781 285492.161267023 684314.447537296 1451045.49287454 131836.612996095 3500157.35849514
"1861" 937419.214087223 1029684.34698513 576959.688218183 1233077.71359531 131744.570741385 3552711.51496681
"1862" 790252.365940601 913801.139779916 582086.879984865 1241244.85821929 132218.900710198 3602689.75885672
"1863" 685520.330488014 825223.025504246 582733.76214793 1244684.68389201 132526.623884175 3627966.76388609
"1864" 607432.54359993 759132.45959137 583216.248983089 1246950.77064181 133077.254845848 3637472.47776071
"1865" 543004.861581314 706047.351409931 585047.03652877 1249841.56150755 133690.543418544 3646192.07456402
"1866" 487750.766397282 659665.260661674 587525.041806016 1253133.46343773 134166.33149805 3658587.29587979
"1867" 440408.671027952 616806.466821104 589697.093235039 1256136.11789319 134458.926023964 3672538.02626369
"1868" 399806.740435766 576082.621176973 591138.037085261 1258481.87821455 134627.592281777 3684918.56290023
"1869" 364370.559625895 536792.876420557 591913.303676081 1260194.28982455 134757.430268229 3693978.98207596
"1870" 332505.012136586 498361.498601047 592317.478014388 1261505.01906123 134913.101928488 3699486.87329401
"1871" 302924.186022081 460171.04958023 592667.729867243 1262685.98143867 135127.003569933 3702136.49119163
"1872" 274739.855921198 421580.619354895 593202.351428639 1263958.77546966 135405.698447035 3702952.05394408
"1873" 247391.069353238 381993.987911864 594055.061917322 1265464.65217904 135741.31140018 3702878.92989333
"1874" 220523.96356991 340923.865785051 595268.567876959 1267268.31586173 136121.628011703 3702560.29504309
"1875" 193887.067708474 298047.165010571 596820.95358426 1269375.55153158 136537.253641998 3702243.52273605
"1876" 922575.178297896 1051071.06379221 518171.408696506 1102176.11068041 135442.573202823 3717426.94576835
"1877" 772834.858675136 923013.196060203 518535.979765381 1107597.76760326 135077.406407753 3776101.60684097
"1878" 683035.372509153 835043.699826376 514708.061290378 1106252.13276792 135803.752432588 3770405.83923769
"1879" 607633.435298679 775341.380928333 519701.821087032 1110962.0739185 137359.914913065 3768980.50007527
"1880" 533411.070359031 721120.541798036 528278.066862186 1120038.90335702 138001.922493763 3808320.23274749
"1881" 474090.068122321 665160.549532159 530112.110325597 1124465.4175875 137337.267234574 3853276.30065387
"1882" 434483.498164924 614337.925062505 524151.460395589 1121748.64060356 136630.11869743 3864158.58455077
"1883" 404095.410152492 574799.539356356 517283.593009831 1116514.09826838 137063.883841646 3833796.36272096
"1884" 371400.418860629 545252.007496415 517474.215710671 1115968.96246726 138837.267831589 3788050.63717442
"1885" 333094.521970199 519394.95235557 528669.794877629 1125598.98477542 141365.628929096 3769594.45489919
"1886" 293155.922487682 489881.208058921 548070.391243063 1144964.79856618 143692.720807638 3798751.02375009
"1887" 257085.356116873 453877.159202045 569750.362003779 1169645.25311888 145542.980044268 3848822.25297058
"1888" 226924.992238823 416711.388993152 592002.153341652 1198010.14829412 148641.143243539 3859213.15470739
"1889" 207015.27945069 378331.097334089 599229.402260492 1214477.80086475 154488.37323084 3713116.0431469
"1890" 202887.784201619 292261.230631133 522085.819724292 1159166.89718786 149679.586266029 3426941.60657598
"1891" 1049317.17388253 1111507.76263841 462833.884505304 1003618.72739308 147471.417964416 3494025.07999979
"1892" 853689.977695762 1014188.19284406 511003.702575215 1045670.5736267 150299.139974465 3703586.04636422
"1893" 661278.901021937 904492.100511351 538495.698004161 1079349.98272626 148604.338713404 3928765.21748095
"1894" 535410.840799725 796943.916938318 539241.371783727 1091040.29892327 144616.312601505 4064771.71604772
"1895" 466683.841985542 712984.883307994 533174.553969812 1095623.42304497 141989.723659129 4129626.67218315
"1896" 420241.631857705 654846.212788747 535269.969448881 1105583.07779119 141663.031600582 4160648.66825783
"1897" 376874.927712798 621161.166772595 553018.958393745 1126329.08527845 144081.697542172 4166594.93482229
"1898" 339644.508987149 617983.26094979 584169.030035537 1153199.94100591 151056.941829389 4111066.96663452
"1899" 335296.462285095 626440.989437919 587951.338202279 1148732.38321579 160955.628644588 3874723.76593089
"1900" 359294.694118951 546019.936882761 487210.429398267 1054067.76535914 156113.995471921 3499775.37473251
"1901" 338910.27337471 421432.486751652 440151.263214991 1053179.95000963 142538.855788318 3875012.41781503
"1902" 261598.102314998 386470.612546096 564223.386373435 1190372.28105479 143437.910926743 4247949.68842587
"1903" 223440.805396341 442335.073092744 626666.182242969 1207153.62029937 168929.730717915 3802114.10083084
"1904" 242228.007822634 295267.180343783 438907.537889287 1061788.76443658 146476.179953692 3718745.28585827
"1905" 179410.225302247 269413.413768109 624478.031677776 1257724.89322936 150296.559300649 4208901.38663762
"1906" 788867.788909758 1074378.52580022 513531.243350521 1039955.89908384 145799.806722132 4185890.11629713
"1907" 656079.60327529 910989.669428738 473573.435780457 1004799.54334769 140511.217057555 4225816.20623906
"1908" 597938.729242178 800631.805455478 444075.170544925 981906.71016446 138720.956741003 4224736.88003593
"1909" 560511.753076709 726218.141677092 427946.45273489 970320.353363618 138826.372969063 4207640.49350612
"1910" 515867.225208852 667420.16099533 426574.981396967 974966.0352135 139370.520399845 4220288.25866775
"1911" 457958.471080043 617605.323035091 444070.316559099 1000689.76141665 140109.42640876 4279240.70361945
"1912" 388374.976092958 587865.798154835 488820.921413084 1047463.52201549 142907.071076415 4328838.99225236
"1913" 328492.695172339 609021.215256036 556936.348368021 1098128.89819571 153342.783811568 4268526.77631658
"1914" 341032.005173555 644032.124367498 560046.685424352 1074390.62950992 167740.613773064 3898105.73390939
"1915" 373403.136542203 515255.596164084 407819.096140864 936605.964309916 154216.824501679 3590898.78857042
"1916" 322774.084898382 409227.225630935 436989.897123678 1034445.59420004 143426.05647749 4284029.36570079
"1917" 225261.855663476 454750.699012983 611452.38005985 1170361.98097071 161864.169754801 4246104.55256282
"1918" 264173.8353527 386759.479993724 431316.69276591 966318.960672576 160240.842318537 3488193.00233072
"1919" 227003.479700013 289300.945655446 493575.676786895 1116041.78235723 146262.339477572 4367727.10675018
"1920" 179562.347887304 328953.783320927 594703.40483835 1131922.32128382 177693.135338754 3741454.1840251
"1921" 1070095.28923325 1176044.44243024 437390.53995642 883608.761931736 158762.794159 3670886.29696199
"1922" 837131.10824503 1051158.58238811 474047.604627727 924329.147399547 158599.467399931 3925219.90566654
"1923" 646433.093985797 933624.641454424 492641.651034604 956292.110199344 156452.817921255 4130344.85037333
"1924" 527018.204253628 836041.393151734 496189.276015373 972693.235961827 154255.477864488 4239156.17951772
"1925" 457594.772917476 773365.75801289 504503.454175504 987610.261184049 155037.357347172 4273144.48476409
"1926" 418807.016075231 748388.222872874 522915.35463099 1002660.45702426 160185.862623451 4225618.14261827
"1927" 417862.838785139 737605.513456254 519314.813110712 985960.161330502 167174.537414005 4010472.70491416
"1928" 440162.436296397 654998.209712531 425767.261304716 888844.197354257 162489.047628819 3670875.80063335
"1929" 413392.231324433 517170.435438594 350066.871427549 860758.168219406 148681.287382404 3971367.97011336
"1930" 323541.437599684 456542.659642241 441470.714863618 1004729.63654848 146043.222060289 4460657.22560546
"1931" 248424.870310374 539263.300296522 587670.065685796 1090753.07270617 171112.243624385 4227108.46939076
"1932" 300358.389811526 422167.963303904 373583.35315688 866620.722539758 158436.013511689 3642072.64725557
"1933" 246665.819240156 336995.1244651 461006.142851053 1047612.31216081 148683.527798954 4476239.03466945
"1934" 201731.834398971 395239.94025143 565435.397332707 1054517.16876848 180373.360056988 3842905.7691608
"1935" 207683.937004311 239463.622690348 385573.981176903 970756.552301803 149631.718705043 4313597.14302461
"1936" 769470.29837938 1015776.13797444 355098.437560871 842931.270705224 141798.10419808 4319836.71447662
"1937" 740796.981980633 906534.827591527 333311.388889552 799445.69785252 142525.132155028 4202936.38169597
"1938" 709999.859516036 834186.980797381 325908.608644636 776491.075033964 145213.876418452 4069791.34624127
"1939" 659697.898684258 777164.848896833 327166.765467497 770399.411995695 147717.392141415 3989254.39097475
"1940" 598443.957766277 716689.652925938 325981.890689255 773070.200476281 148482.227422457 3995723.30504138
"1941" 531677.549795459 646233.672137438 323697.491747269 789742.70440738 147022.997374049 4130021.49921027
"1942" 452935.714885916 578609.083588571 345774.905596463 845950.516763327 145153.776736138 4385348.45551099
"1943" 356334.904385395 548990.066823614 423813.773367147 941398.821506707 147920.51408852 4523168.23962087
"1944" 293166.203157706 612729.465960559 534701.752721765 1009274.40801871 166486.391535045 4375790.55850488
"1945" 348512.970323237 581900.190738829 431194.084601552 859961.499898072 170267.909813264 3721988.41989285
"1946" 335102.285236394 421800.708389687 326747.131168424 834161.772533047 149766.230975064 4251522.47256146
"1947" 232078.520233391 421168.64491335 509911.10858635 1037846.88879633 158364.398650856 4506478.90782403
"1948" 250133.821371347 425841.082018614 436642.522863334 874072.958081955 173654.903824591 3655910.00314249
"1949" 231695.93860014 289736.800486149 379844.257658769 942863.522907049 150503.794350449 4518952.1478751
"1950" 166714.395280102 341651.916276778 585910.761607298 1051795.1192548 185399.929296142 4071790.27188335
"1951" 1047977.43755869 1208718.24693109 423922.315028403 806560.10423829 164600.745455611 3885968.14095666
"1952" 777107.711405345 1054637.48455279 445829.422337895 847185.417121162 160992.905566312 4187809.32216326
"1953" 588365.696819594 906287.535768313 435454.536844602 861967.545728476 155008.554841649 4379568.90451492
"1954" 494570.217866764 794185.153774404 416611.452915376 861955.093312404 150965.387024442 4463879.37988939
